,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Capacity (mah),Nominal voltage (V),Cells configuration,Discharge (C),Battery height (mm),Bettry length (mm),Battery width (mm),Battery weight (g),Battery price (€)
0,0,0,0,0,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,10.0
1,1,1,1,1,450,7.4,2S1P,25,11.0,56.0,31.0,28.0,10.0
2,2,2,2,2,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,18.0
3,3,3,3,3,450,11.1,3S1P,75,22.5,68.0,17.5,57.0,18.0
4,4,4,4,4,450,14.8,4S1P,75,29.0,68.0,17.5,67.0,27.0
5,5,5,5,5,550,3.7,1S1P,15,26.0,44.0,9.0,15.0,5.0
6,6,6,6,6,800,7.4,2S1P,40,15.0,57.0,30.0,50.0,10.0
7,7,7,7,7,800,11.1,3S1P,40,23.0,52.0,30.0,72.0,18.0
8,8,8,8,8,850,11.1,3S1P,45,22.2,60.0,30.4,76.0,18.0
9,9,9,9,9,850,14.8,4S1P,45,29.0,60.0,31.0,99.0,27.0
10,10,10,10,10,900,11.1,3S1P,45,19.5,52.0,33.5,80.0,18.0
11,11,11,11,11,1000,7.4,2S1P,25,14.0,70.0,36.0,70.0,10.0
12,12,12,12,12,1000,11.1,3S1P,25,19.0,72.0,36.0,96.0,18.0
14,14,14,14,14,1050,11.1,3S1P,45,25.0,75.0,20.0,85.0,18.0
15,15,15,15,15,1050,11.1,3S1P,75,19.0,71.0,36.0,98.0,18.0
16,16,16,16,16,1050,14.8,4S1P,45,31.0,75.0,25.0,120.0,27.0
17,17,17,17,17,1050,14.8,4S1P,75,26.0,71.0,36.0,125.0,27.0
18,18,18,18,18,1300,7.4,2S1P,25,17.0,70.0,35.0,88.0,10.0
19,19,19,19,19,1300,11.1,3S1P,25,24.0,70.0,35.0,115.0,18.0
20,20,20,20,20,1300,11.1,3S1P,25,24.0,70.0,35.0,115.0,18.0
21,21,21,21,21,1300,11.1,3S1P,45,22.6,72.0,36.5,119.0,18.0
22,22,22,22,22,1300,11.1,3S1P,75,22.3,72.0,36.0,122.0,18.0
23,23,23,23,23,1300,11.1,3s1p,75,24.5,72.0,36.0,125.0,18.0
24,24,24,24,24,1300,14.8,4s1p,45,29.8,72.0,36.5,154.0,27.0
25,25,25,25,25,1300,14.8,4S1P,75,29.4,72.0,36.0,155.0,27.0
26,26,26,26,26,1300,14.8,4S1P,75,32.0,72.0,36.0,160.0,27.0
27,27,27,27,27,1300,14.8,4S1P,95,32.0,72.0,36.0,172.6,27.0
28,28,28,28,28,1400,11.1,3S1P,45,18.7,86.0,35.5,113.0,18.0
29,29,29,29,29,1400,11.1,3S1P,50,19.5,85.0,35.0,131.0,18.0
31,31,31,31,31,1550,7.4,2S1P,25,17.0,90.0,30.0,102.0,10.0
32,32,32,32,32,1550,11.1,3S1P,25,24.0,91.0,30.0,142.0,18.0
33,33,33,33,33,1550,11.1,3S1P,45,25.0,72.0,36.5,128.0,18.0
34,34,34,34,34,1550,11.1,3S1P,75,27.0,72.0,36.0,136.0,18.0
35,35,35,35,35,1550,11.1,3S1P,75,27.5,72.0,36.0,136.0,18.0
36,36,36,36,36,1550,14.8,4S1P,25,31.66,92.0,30.84,173.0,27.0
37,37,37,37,37,1550,14.8,4S1P,45,33.0,72.0,36.5,178.0,27.0
38,38,38,38,38,1550,14.8,4S1P,75,35.0,72.0,36.0,176.0,27.0
39,39,39,39,39,1550,14.8,4S1P,75,36.0,72.0,36.0,176.0,27.0
41,41,41,41,41,1800,7.4,2S1P,25,17.3,89.79,30.2,100.06,10.0
42,42,42,42,42,1800,11.1,3S1P,25,26.0,93.0,30.0,156.0,18.0
43,43,43,43,43,1800,11.1,3S1P,25,26.0,93.0,30.0,156.0,18.0
44,44,44,44,44,1800,11.1,3S1P,45,20.8,106.0,35.5,158.0,18.0
45,45,45,45,45,1800,11.1,3S1P,75,19.3,105.0,35.0,159.0,18.0
46,46,46,46,46,1800,11.1,3S1P,75,23.0,105.0,35.0,160.0,18.0
47,47,47,47,47,1800,14.8,4S1P,25,33.0,91.0,29.0,190.0,27.0
48,48,48,48,48,1800,14.8,4S1P,45,27.4,106.0,35.5,202.0,27.0
49,49,49,49,49,1800,14.8,4S1P,75,25.4,105.0,35.0,202.0,27.0
50,50,50,50,50,1800,14.8,4S1P,75,30.0,105.0,35.0,207.0,27.0
51,51,51,51,51,2200,7.4,2S1P,25,18.53,106.0,34.0,135.6,10.0
52,52,52,52,52,2200,7.4,2S1P,25,21.0,84.0,32.0,134.0,10.0
53,53,53,53,53,2200,7.4,2S1P,50,20.0,87.2,34.0,130.0,10.0
54,54,54,54,54,2200,11.1,3S1P,25,26.0,107.0,34.0,190.0,18.0
55,55,55,55,55,2200,11.1,3S1P,30,25.0,116.0,35.0,199.0,18.0
56,56,56,56,56,2200,11.1,3S1P,45,26.0,107.0,34.0,207.0,18.0
57,57,57,57,57,2200,11.1,3S1P,60,25.0,106.0,34.0,205.0,18.0
58,58,58,58,58,2200,14.8,4S1P,25,33.78,106.0,34.0,249.0,27.0
59,59,59,59,59,2300,11.1,3S1P,45,23.2,106.0,35.5,179.0,18.0
60,60,60,60,60,2300,14.8,4S1P,45,30.6,106.0,35.5,224.0,27.0
61,61,61,61,61,2600,11.1,3S1P,25,27.0,115.0,34.0,228.0,18.0
62,62,62,62,62,2600,11.1,3S1P,45,23.0,125.0,38.0,239.0,18.0
63,63,63,63,63,2700,11.1,3S1P,25,26.0,106.0,33.0,194.0,18.0
64,64,64,64,64,3300,11.1,3S1P,25,23.0,136.0,42.0,283.0,18.0
65,65,65,65,65,3300,11.1,3S1P,25,23.0,133.0,42.0,284.0,18.0
66,66,66,66,66,3300,14.8,4S1P,25,31.0,136.0,42.0,366.0,27.0
67,67,67,67,67,3300,14.8,4S1P,35,31.0,136.0,42.0,378.0,27.0
69,69,69,69,69,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,10.0
70,70,70,70,70,3700,14.8,4S1P,45,29.0,136.0,43.5,361.0,27.0
71,71,71,71,71,3800,11.1,3S1P,25,28.0,136.0,42.0,336.0,18.0
72,72,72,72,72,3800,14.8,4S1P,25,36.0,136.0,43.0,418.0,27.0
