,Capacity (mah),Nominal voltage (V),Cells configuration,Discharge (C),Battery height (mm),Bettry length (mm),Battery width (mm),Battery weight (g),Motor name,Shaft diameter (mm),Motor diameter (mm),Motor height (mm),Magnetic poles,KV (rpm/V),Motor weight (g),No load current (A),Resistance (Ohm),Propeller Name,Propeller diameter (in),Propeller pitch (in),Propeller weight (g),Propeller material,Tests,Peak rotational speed (rpm),Peak torque (Nm),Peak current (A),Peak thrust (kgf),Hovering rotational speed (rpm),Hovering torque (Nm),Hovering current (A),Hovering PWM
4705,800,7.4,2S1P,40,15.0,57.0,30.0,50.0,DYS D2225-12,3.175,22.0,25.0,,2000,32.0,,0.143,Gemfan 5040 R,5.0,4.0,3.0,ABS,8,13427.065727584317,0.022920553426073215,4.800469483970931,0.21800853208356577,14278.61247094427,0.017193180569836267,1.82303331887223,1.0
4942,800,7.4,2S1P,40,15.0,57.0,30.0,50.0,DYS D2822-12,3.175,28.0,22.0,,1800,38.0,,0.091,T-Motor 5143 Ultra-Light,5.1,4.3,3.7,Poly Carbonate,3,12517.549407093537,0.025989820604006078,4.898965768659727,0.22688058557972843,12950.723246470781,0.019819136397866952,2.254436836308302,1.0
5743,800,11.1,3S1P,40,23.0,52.0,30.0,72.0,DYS D2822-17,3.175,28.0,22.0,,1100,38.0,,0.192,Gemfan 5050 3-Blades BN,5.0,5.0,5.0,Poly Carbonate,6,11467.663479602408,0.030513049240422124,3.5148509488522377,0.2315996521673102,11747.396572179143,0.025459582298993224,2.190357140561843,1.0
6523,850,11.1,3S1P,45,22.2,60.0,30.4,76.0,DYS D2822-17,3.175,28.0,22.0,,1100,38.0,,0.192,Gemfan 5050 3-Blades BN,5.0,5.0,5.0,Poly Carbonate,6,11467.663479602408,0.030513049240422124,3.5148509488522377,0.2315996521673102,11747.396572179143,0.025459582298993224,2.190357140561843,1.0
8604,1000,7.4,2S1P,25,14.0,70.0,36.0,70.0,DYS D2225-12,3.175,22.0,25.0,,2000,32.0,,0.143,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,16,13557.713467356498,0.02073944500769633,4.343659205047219,0.23472560692592093,13958.164480747135,0.017958454680012236,2.9434808365485674,1.0
8605,1000,7.4,2S1P,25,14.0,70.0,36.0,70.0,DYS D2225-12,3.175,22.0,25.0,,2000,32.0,,0.143,Gemfan 5040 R,5.0,4.0,3.0,ABS,8,13427.065727584317,0.022920553426073215,4.800469483970931,0.21800853208356577,14278.61247094427,0.017193180569836267,1.82303331887223,1.0
8610,1000,7.4,2S1P,25,14.0,70.0,36.0,70.0,DYS D2225-12,3.175,22.0,25.0,,2000,32.0,,0.143,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,7,13557.713467356498,0.02073944500769633,4.343659205047219,0.23472560692592093,13958.164480747135,0.017958454680012236,2.9434808365485674,1.0
8621,1000,7.4,2S1P,25,14.0,70.0,36.0,70.0,DYS D2225-15,3.175,22.0,25.0,,1600,32.0,,0.203,DALPROP 6040,6.0,4.0,4.32,Nylon,7,10387.40056274704,0.026692008247919556,4.47228890779852,0.22541605984530277,10908.761945578315,0.023134679947655282,2.867112236520237,1.0
8624,1000,7.4,2S1P,25,14.0,70.0,36.0,70.0,DYS D2225-15,3.175,22.0,25.0,,1600,32.0,,0.203,KingKong 6040,6.0,4.0,3.38,Plastic,5,10387.40056274704,0.026692008247919556,4.47228890779852,0.22541605984530277,10908.761945578315,0.023134679947655282,2.867112236520237,1.0
8842,1000,7.4,2S1P,25,14.0,70.0,36.0,70.0,DYS D2822-12,3.175,28.0,22.0,,1800,38.0,,0.091,T-Motor 5143 Ultra-Light,5.1,4.3,3.7,Poly Carbonate,3,12517.549407093537,0.025989820604006078,4.898965768659727,0.22688058557972843,12950.723246470781,0.019819136397866952,2.254436836308302,1.0
9289,1000,7.4,2S1P,25,14.0,70.0,36.0,70.0,TMOTOR V2207 V2.0,4.0,27.5,31.35,,1950,35.2,,0.05,Gemfan 5040 R,5.0,4.0,3.0,ABS,8,13940.827847134055,0.024569362099097162,5.017150285803675,0.2339545497777203,14149.65793279658,0.019666516185947742,2.875303253368564,1.0
10968,1050,11.1,3S1P,45,25.0,75.0,20.0,85.0,DYS D2225-??,3.175,22.0,25.0,,1350,32.0,,,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,16,14985.0,0.024958425141258147,3.5284142261541205,0.28332482381859225,14020.065356055737,0.022066820435925866,3.1196232436317204,0.9356066303674165
10974,1050,11.1,3S1P,45,25.0,75.0,20.0,85.0,DYS D2225-??,3.175,22.0,25.0,,1350,32.0,,,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,7,14985.0,0.024958425141258147,3.5284142261541205,0.28332482381859225,14020.065356055737,0.022066820435925866,3.1196232436317204,0.9356066303674165
11748,1050,11.1,3S1P,75,19.0,71.0,36.0,98.0,DYS D2225-??,3.175,22.0,25.0,,1350,32.0,,,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,16,14985.0,0.024958425141258147,3.5284142261541205,0.28332482381859225,14020.065356055737,0.022066820435925866,3.1196232436317204,0.9356066303674165
11754,1050,11.1,3S1P,75,19.0,71.0,36.0,98.0,DYS D2225-??,3.175,22.0,25.0,,1350,32.0,,,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,7,14985.0,0.024958425141258147,3.5284142261541205,0.28332482381859225,14020.065356055737,0.022066820435925866,3.1196232436317204,0.9356066303674165
14064,1300,7.4,2S1P,25,17.0,70.0,35.0,88.0,DYS D2225-12,3.175,22.0,25.0,,2000,32.0,,0.143,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,16,13557.713467356498,0.02073944500769633,4.343659205047219,0.23472560692592093,13958.164480747135,0.017958454680012236,2.9434808365485674,1.0
14065,1300,7.4,2S1P,25,17.0,70.0,35.0,88.0,DYS D2225-12,3.175,22.0,25.0,,2000,32.0,,0.143,Gemfan 5040 R,5.0,4.0,3.0,ABS,8,13427.065727584317,0.022920553426073215,4.800469483970931,0.21800853208356577,14278.61247094427,0.017193180569836267,1.82303331887223,1.0
