name,motor width (mm),motor height (mm),motor volume (mm^3),Kv (rms/V),propeller diameter (in),propeller pitch (in),propeller volume (in^3),battery (V),Time (s),PWM throttle signal (µs),Rotation speed (rpm),Thrust (kgf),Torque (N⋅m),Voltage (V),Current (A),Electrical power (W),Mechanical power (W),Motor & ESC efficiency (%),Propeller efficiency (gf/W),Propulsion system efficiency (gf/W)
 Samguk Shu HQ 5151,23,6,,2500,5.1,5.1,,14.8,19.70024389999,1985,20107,1.08494998324076,0.14527135948147,13.93530257225,41.067851066589,572.292930605018,305.883391403408,53.448745396878,3.5469398265233,1.8957948372589
DYS Samguk Shu HQ 5040,23,6,,2500,5,4,,14.8,,,,,,,,,,,,
DYS Samguk Shu HQ 5043,23,6,,2500,5,4.3,,14.8,,,,,,,,,,,,
DYS Samguk Shu HQ 5045,23,6,,2500,5,4.5,,14.8,,,,,,,,,,,,
DYS Samguk Shu HQ 5048,23,6,,2500,5,4.8,,14.8,,,,,,,,,,,,
DYS Samguk Shu HQ 5050,23,6,,2500,5,5,,14.8,,,,,,,,,,,,
DYS Samguk Shu HQ 5131,23,6,,2500,5.1,3.1,,14.8,,,,,,,,,,,,
DYS Samguk Shu HQ 5141,23,6,,2500,5.1,4.1,,14.8,,,,,,,,,,,,
DYS Samguk Shu HQ 5146,23,6,,2500,5.1,4.6,,14.8,,,,,,,,,,,,
DYS Samguk Shu HQ 5151,23,6,,2500,5.1,5.1,,14.8,,,,,,,,,,,,
Elite 2306 2150Kv 5030 tri-blade prop series 1521,23,6,,2150,5,3,,14.8,15.2719035,1600,13489.9999999999,0.1614869587572,,10.640136027356,2.4977728379388,26.5766427611039,,,,6.07627382468127
Hypertrain Blaster 2207 2450Kv Gemfan 5040R,22,7,,2450,5,4,,11.1,20.49321535,1600,20451.0000000004,0.470792488900664,0.043805333184123,10.936121902466,11.510653533936,125.881910224175,93.8145402570844,74.5258314638028,5.01833178109204,3.7399534854711
DYS Samguk Wei 2207 2600kv with Gemfan 6030R,22,7,,2600,6,3,,11.1,19.586556,1550,19033.0000000002,0.516610906196561,0.046063105062667,11.107731571198,11.372344398499,126.320948913744,91.8098072257731,72.679795406274,5.62696864100959,4.08966929586096
Gemfan M2306L 2200kv with Gemfan 6030R,23,6,,2200,6,3,,11.1,20.945003650001,1570,16173.0000000004,0.357326018568737,0.030217186137967,11.198344488144,6.1671085929871,69.0614065200626,51.1768115099403,74.1033438047244,6.9821860335971,5.17403332156191
EMAX RSII 2207 2300Kv Gemfan 5040R,22,7,,2300,5,4,,11.1,20.4724819,1569,18742.0000000004,0.406650304175616,0.037936569662951,10.984384050369,9.0680220794678,99.6066370981,74.4564986809226,74.7505395725711,5.46158241899452,4.08256232739909
HGLRC HF1407 3600kv HQ 3040 - No cool,14,7,,3600,3,4,,16,17.42338715,1958,33729.9999999998,0.412616486433145,0.044681674776707,14.678608913422,18.041856803894,264.829360096322,157.824492801345,59.5947869012492,2.61440083924432,1.55804660889212
QAV 2206 2000Kv With 6045 Plastic,22,6,,2000,6,4.5,,14.8,262.42355515,1693,14230.0000000004,0.515071832637608,0.073157113666009,14.686605167455,15.50659714924,227.739269821671,109.015959253645,47.868757697787,4.72473788392029,2.26167332950935
Lumenier ZIP 2207 1750kv POPO Gemfan Hurricane,22,7,,1750,5.1,4.3,,14.8,24.62214325,1862,20373.9999999995,0.623306889158,0.081558533351429,14.721224603653,19.231274967194,283.107918206672,174.010048135141,61.4642109755867,3.58201664695779,2.20165826906678
