name,motor width (mm),motor height (mm),Kv (rms/V),propeller diameter (in),propeller pitch (in),battery (V),min PWM throttle (µs),max PWM throttle (µs),PWM throttle (%),Time (s),PWM throttle signal (µs),Rotation speed (rpm),Thrust (kgf),Torque (N⋅m),Voltage (V),Current (A),Electrical power (W),Mechanical power (W),Motor & ESC efficiency (%),Propeller efficiency (gf/W),Propulsion system efficiency (gf/W)
 Samguk Shu HQ 5151,23,6,2500,5.1,5.1,14.8,1000,2000,0,1.5020493999997,1000,0,-0.000291868067633,-2.1958372929943E-05,14.833589544296,-0.003548859248986,0.05264232144993,0,0,,
 Samguk Shu HQ 5151,23,6,2500,5.1,5.1,14.8,1000,2000,20.4,113.93764424999,1204,5732,0.074485511033909,0.015681198566351,14.813543395996,1.3016286122799,19.2817319334783,9.41269646171414,48.8166545110563,7.91330213790237,3.86300936507583
 Samguk Shu HQ 5151,23,6,2500,5.1,5.1,14.8,1000,2000,24.5,108.62396924999,1245,6841.99999999998,0.109027154183304,0.021995296783042,14.796064062119,2.0547483873367,30.4021887705695,15.7594665996518,51.8366184704031,6.91820078388394,3.58616134535835
 Samguk Shu HQ 5151,23,6,2500,5.1,5.1,14.8,1000,2000,28.6,103.35132399999,1286,7947.00000000004,0.150343728712221,0.030052342583683,14.774263153076,3.0117545580864,44.4964543936446,25.0097967294082,56.2062687245938,6.01139346868168,3.37877996709991
 Samguk Shu HQ 5151,23,6,2500,5.1,5.1,14.8,1000,2000,32.7,98.208512499991,1327,8930.99999999999,0.197998491046107,0.036123308182926,14.747594919205,4.2046439027786,62.008385057684,33.7844010281471,54.4836008819111,5.86064825838251,3.1930922061898
 Samguk Shu HQ 5151,23,6,2500,5.1,5.1,14.8,1000,2000,36.8,92.769816799991,1368,9969.99999999993,0.251536851696675,0.04225449614102,14.713136138916,5.6350409078598,82.909124025702,44.1160584712641,53.2101369899748,5.70170727877965,3.03388625380601
 Samguk Shu HQ 5151,23,6,2500,5.1,5.1,14.8,1000,2000,40.9,87.671627699991,1409,10906.9999999997,0.297668600165214,0.047649828940908,14.675974607468,7.2718452692032,106.721416520262,54.4246039071486,50.9968904852526,5.46937559110313,2.789211480422
 Samguk Shu HQ 5151,23,6,2500,5.1,5.1,14.8,1000,2000,45,82.669429549991,1450,11778.0000000005,0.350462328038994,0.054073436070363,14.636391773224,9.0477042770386,132.425744447011,66.6935961548102,50.3630139542065,5.25481227951025,2.6464818415971
 Samguk Shu HQ 5151,23,6,2500,5.1,5.1,14.8,1000,2000,49.2,77.526264049991,1492,12602.0000000005,0.40103890193069,0.060385389705863,14.592039985657,11.055713043213,161.325406796514,79.6892916937688,49.3966159925969,5.03253189238786,2.4859004535878
 Samguk Shu HQ 5151,23,6,2500,5.1,5.1,14.8,1000,2000,53.3,72.551668849991,1533,13362.0000000001,0.459910446840573,0.067070839640015,14.540715808868,13.263161525726,192.855862472694,93.8499031048444,48.663235797736,4.90048930926208,2.38473666780905
 Samguk Shu HQ 5151,23,6,2500,5.1,5.1,14.8,1000,2000,57.4,67.445169799991,1574,14062.0000000004,0.513186183771839,0.073647239653317,14.490353469849,15.495937719345,224.541614900075,108.45065652019,48.2986891175842,4.73197858121125,2.28548362404989
 Samguk Shu HQ 5151,23,6,2500,5.1,5.1,14.8,1000,2000,61.5,62.418712399992,1615,14779.0000000005,0.582563040029195,0.082390720241048,14.430308437347,18.211444129944,262.796755884604,127.51226685007,48.5212484533337,4.56868232696527,2.21678170291037
 Samguk Shu HQ 5151,23,6,2500,5.1,5.1,14.8,1000,2000,65.6,57.419752649992,1656,15710.0000000004,0.672385730325392,0.094052456383014,14.434986429214,18.049165935516,260.539465337805,154.73014965507,59.3883730645004,4.34553790469599,2.58074426250013
 Samguk Shu HQ 5151,23,6,2500,5.1,5.1,14.8,1000,2000,69.7,52.714282499991,1697,16327.0000000001,0.705248088989217,0.098728266892426,14.391668233871,20.050227489471,288.556222042107,168.801586495696,58.4986819210104,4.17797073848709,2.44405781306044
 Samguk Shu HQ 5151,23,6,2500,5.1,5.1,14.8,1000,2000,73.8,47.839992249991,1738,16616.0000000003,0.733045982257305,0.10197706499312,14.33067568779,22.928024501801,328.574083297013,177.442484559145,54.0037981019783,4.13117514713883,2.23099148569996
 Samguk Shu HQ 5151,23,6,2500,5.1,5.1,14.8,1000,2000,77.9,42.918281399992,1779,16942.0000000002,0.776996977669408,0.10735501233514,14.264926948547,25.797194423676,367.995093931202,190.465193189318,51.7575359917505,4.07946966402985,2.11143297963279
 Samguk Shu HQ 5151,23,6,2500,5.1,5.1,14.8,1000,2000,82.1,38.223595299992,1821,17699.0000000004,0.86808115635581,0.11792674928131,14.213760232925,28.158704051971,400.241067864609,218.569558169993,54.6094780668356,3.97164712059609,2.16889576321402
 Samguk Shu HQ 5151,23,6,2500,5.1,5.1,14.8,1000,2000,86.2,33.601720449992,1862,18287.9999999996,0.908236203746295,0.12299718836759,14.151999769211,31.034938144684,439.206437461046,235.553745841211,53.6316697002199,3.85574935564195,2.06790275888625
 Samguk Shu HQ 5151,23,6,2500,5.1,5.1,14.8,1000,2000,90.3,29.027702199992,1903,18844.0000000003,0.96450449986085,0.12938553805638,14.077778367996,34.360255699158,483.716064400418,255.321536754144,52.7833486511604,3.77760729518715,1.99394762929031
