"Time (s)","PWM throttle signal (µs)","Rotation speed (rpm)","Thrust (kgf)","Torque (N⋅m)","Voltage (V)","Current (A)","Electrical power (W)","Mechanical power (W)","Motor & ESC efficiency (%)","Propeller efficiency (gf/W)","Propulsion system efficiency (gf/W)"
"1.6928617","1000","0","0.0007912391784224787","0.00018443076224143","14.73827755928","0.0060127456922783","0.0886175149061628","0","0","",""
"19.7279432","1721","20539.00000000008","1.099204928864903","0.1550398338335","14.69455950737","41.458906135559","609.220363319439","333.465728977038","54.736471243359894","3.2963055371144176","1.804281332415912"
"25.71229385","1666","18748.00000000018","0.913207190419287","0.12903228399475","14.704206457138","33.821465091705","497.317805391316","253.327272712774","50.93870960711781","3.6048514660112994","1.8362648200394225"
"31.647398","1612","17630.999999999796","0.81136975750659","0.11472481279243","14.709085626602","28.70546257019","422.231106896143","211.818028294541","50.16637212062211","3.830503777413837","1.9216247790719159"
"37.9413038","1557","16550.000000000295","0.7144062437800268","0.10124578079049","14.712854404449","24.653577899933","362.724502190456","175.470272294668","48.3756325351669","4.0713804933311994","1.9695560665623637"
"44.98875435","1502","15519.000000000002","0.6309180808659532","0.088367439904368","14.716805896759","20.538434123993","302.260148426176","143.609980860398","47.512046033244395","4.39327459753138","2.0873346491459372"
"51.71599865","1448","14355.999999999662","0.5391562126465511","0.075013006705936","14.721008338928","16.768385562897","246.847543701767","112.771314057208","45.6846004485484","4.780969497021573","2.184166812281279"
"58.08751425","1393","12950.99999999987","0.44122302532378543","0.061025479025668","14.725759029388","12.398086738586","182.571237737868","82.7643137673999","45.3326136103821","5.3310781572332555","2.416717062286031"
"64.3032932","1338","11561.00000000013","0.3469563725074618","0.04794567382716","14.729497032166","9.0597093963623","133.444962666005","58.0461534681702","43.4981975403988","5.977250029112032","2.5999960251466914"
"70.5480124","1283","9573.999999999784","0.2374160381643069","0.031119054525866","14.732930870056","5.1034704732895","75.1890776803462","31.1995575132309","41.4948001435402","7.6095963240384235","3.15758678638993"
"76.7145215","1229","7531.000000000022","0.1465323689191926","0.016873523142519","14.735310916901","2.6137075948715","38.5137940562971","13.307210813735","34.5518044633135","11.011501280790485","3.8046723910140066"
