"Time (s)","PWM throttle signal (µs)","Rotation speed (rpm)","Thrust (kgf)","Torque (N⋅m)","Voltage (V)","Current (A)","Electrical power (W)","Mechanical power (W)","Motor & ESC efficiency (%)","Propeller efficiency (gf/W)","Propulsion system efficiency (gf/W)"
"1.5208370499998","1000","0","-0.00029356201169065894","-0.000064683336783024","11.307382984161","0.032721842397004","0.369998403930281","0","0","",""
"19.3226522","1600","19181.00000000006","0.4375092844767174","0.036002663921448","11.022361478806","9.6263179206848","106.104755831696","72.3160172577409","68.15530245642239","6.049963771060485","4.12337110667025"
"26.81664175","1580","19023.99999999993","0.4270504136388267","0.034912191270218","11.032453727722","9.31561211586","102.774059613632","69.551670196543","67.6743435629721","6.140045414179756","4.155235428514519"
"34.33384975","1559","18728.999999999927","0.41432035288356367","0.033949258727341","11.043125753403","9.0034174537659","99.4258711523203","66.5845553136269","66.96904391375111","6.222469323884947","4.167128214032193"
"41.8185685","1539","18435.99999999955","0.4019579237729704","0.032667790531848","11.053517179489","8.6572087669373","95.6926058317642","63.0688743251276","65.90778229616619","6.373316918593303","4.2005118397512"
"49.2425016","1518","18082.000000000116","0.38862578467908004","0.031415850821267","11.065218057632","8.2652366542816","91.4566458775587","59.4872522246196","65.0442093669831","6.532925461267856","4.249289714816008"
"56.6795102","1498","17753.999999999625","0.3735235079991536","0.030399815035885","11.076721248627","7.8873867225647","87.3663841059709","56.5191699005185","64.6921244124784","6.60879324053426","4.275368745329883"
"64.1476284","1477","17419.000000000447","0.3583352976760056","0.029306113571606","11.089609012604","7.5227705383301","83.4245839616173","53.457674890758","64.0790428338884","6.703159058231997","4.295320164148155"
"71.5916383","1457","16979.99999999978","0.34230313868585094","0.028232771382904","11.102091054916","7.0954370737076","78.7741884667285","50.2018608165278","63.728820053450995","6.818534873375761","4.345371819735445"
"79.0686363","1436","16577","0.32754435148362593","0.026915802968929","11.113254547119","6.7073321533203","74.5402895519243","46.7242023347349","62.6831511060701","7.010164649512453","4.3941921000381985"
"86.5332677","1416","16143.00000000031","0.3070899595991904","0.025327927467691","11.126899785995","6.2516930007935","69.5619615126356","42.8166336074635","61.5517916349815","7.172211678632765","4.414624788051853"
"94.0113854","1395","15564.999999999958","0.2866781411556852","0.023713078002381","11.142876548767","5.7255135822296","63.7986910250731","38.6514394858125","60.5834365326121","7.417010723776907","4.493479984456415"
"101.5510175","1375","15069.00000000045","0.2691836800214957","0.022159886994193","11.156682319641","5.2882460021973","58.9992806746268","34.9687889704957","59.2698564637489","7.69782677485957","4.562490880287306"
"109.07057925","1354","14450.999999999969","0.24647018509688834","0.020311822128553","11.171246757507","4.7702948999405","53.2901414333125","30.7379856674467","57.6804355190394","8.018423450496767","4.625061568007322"
"116.55499685","1334","13902.999999999716","0.22785658489278196","0.01895282370117","11.183334531784","4.3241848564148","48.3588058265611","27.5937714948651","57.0604898595515","8.257536847950758","4.711790975773675"
"124.02972425","1314","13201.99999999954","0.20423227594537383","0.016912458865464","11.197160930634","3.7891200590134","42.4273870862664","23.3816470084887","55.109797265967394","8.734725824542112","4.813689693643263"
"131.5250533","1293","12497.000000000113","0.1822898223557892","0.015308741282562","11.209114847183","3.2814640879631","36.782307828885","20.0342860958368","54.4671807680972","9.098892842189668","4.955910412250902"
"139.06399325","1273","11639.99999999962","0.15738274669545665","0.013220370782993","11.223153495789","2.7552746510506","30.9228703317974","16.114811655078","52.1129231606534","9.76634105716419","5.089525810727324"
"146.60494435","1252","10554.000000000104","0.1291539616767194","0.011090182477291","11.239622993469","2.1738366627693","24.4331045389077","12.2570060336055","50.1655694800767","10.537154124148513","5.286023373372477"
"154.16730105","1232","9538.999999999956","0.10492813653022183","0.0094773328545598","11.25263417244","1.7346869373322","19.5197975095096","9.4671138643645","48.5000618461966","11.083434511671571","5.3754725928434075"
"161.73271345","1211","8254.999999999987","0.07841492295675996","0.0069664907442206","11.24857542038","1.2698246860504","14.2837187516983","6.02226358544368","42.16173456039","13.020838733511342","5.4898114643595015"
