Name,Diameter (in),Pitch (in),Weight (g),Material,Tests
Ideal 3x1,3,1,0,Ideal,0
Ideal 3x2,3,2,0,Ideal,0
Ideal 3x3,3,3,0,Ideal,0
Ideal 3x4,3,4,0,Ideal,0
Ideal 3x5,3,5,0,Ideal,0
Ideal 3x6,3,6,0,Ideal,0
Ideal 3x7,3,7,0,Ideal,0
Ideal 3x8,3,8,0,Ideal,0
Ideal 3x9,3,9,0,Ideal,0

Ideal 4x1,4,1,0,Ideal,0
Ideal 4x2,4,2,0,Ideal,0
Ideal 4x3,4,3,0,Ideal,0
Ideal 4x4,4,4,0,Ideal,0
Ideal 4x5,4,5,0,Ideal,0
Ideal 4x6,4,6,0,Ideal,0
Ideal 4x7,4,7,0,Ideal,0
Ideal 4x8,4,8,0,Ideal,0
Ideal 4x9,4,9,0,Ideal,0

Ideal 5x1,5,1,0,Ideal,0
Ideal 5x2,5,2,0,Ideal,0
Ideal 5x3,5,3,0,Ideal,0
Ideal 5x4,5,4,0,Ideal,0
Ideal 5x5,5,5,0,Ideal,0
Ideal 5x6,5,6,0,Ideal,0
Ideal 5x7,5,7,0,Ideal,0
Ideal 5x8,5,8,0,Ideal,0
Ideal 5x9,5,9,0,Ideal,0

Ideal 6x1,6,1,0,Ideal,0
Ideal 6x2,6,2,0,Ideal,0
Ideal 6x3,6,3,0,Ideal,0
Ideal 6x4,6,4,0,Ideal,0
Ideal 6x5,6,5,0,Ideal,0
Ideal 6x6,6,6,0,Ideal,0
Ideal 6x7,6,7,0,Ideal,0
Ideal 6x8,6,8,0,Ideal,0
Ideal 6x9,6,9,0,Ideal,0

Ideal 7x1,7,1,0,Ideal,0
Ideal 7x2,7,2,0,Ideal,0
Ideal 7x3,7,3,0,Ideal,0
Ideal 7x4,7,4,0,Ideal,0
Ideal 7x5,7,5,0,Ideal,0
Ideal 7x6,7,6,0,Ideal,0
Ideal 7x7,7,7,0,Ideal,0
Ideal 7x8,7,8,0,Ideal,0
Ideal 7x9,7,9,0,Ideal,0

Ideal 8x1,8,1,0,Ideal,0
Ideal 8x2,8,2,0,Ideal,0
Ideal 8x3,8,3,0,Ideal,0
Ideal 8x4,8,4,0,Ideal,0
Ideal 8x5,8,5,0,Ideal,0
Ideal 8x6,8,6,0,Ideal,0
Ideal 8x7,8,7,0,Ideal,0
Ideal 8x8,8,8,0,Ideal,0
Ideal 8x9,8,9,0,Ideal,0

Ideal 9x1,9,1,0,Ideal,0
Ideal 9x2,9,2,0,Ideal,0
Ideal 9x3,9,3,0,Ideal,0
Ideal 9x4,9,4,0,Ideal,0
Ideal 9x5,9,5,0,Ideal,0
Ideal 9x6,9,6,0,Ideal,0
Ideal 9x7,9,7,0,Ideal,0
Ideal 9x8,9,8,0,Ideal,0
Ideal 9x9,9,9,0,Ideal,0
