"Time (s)","PWM throttle signal (µs)","Rotation speed (rpm)","Thrust (kgf)","Torque (N⋅m)","Voltage (V)","Current (A)","Electrical power (W)","Mechanical power (W)","Motor & ESC efficiency (%)","Propeller efficiency (gf/W)","Propulsion system efficiency (gf/W)"
"0.79148659999967","1000","0","0.0007133572406238625","0.000041260945743877","50.01469599804","0.00060975019336834","0.0304964705560636","0","0","",""
"21.6461416","1800","3015.8529555619543","10.811942056046663","5.9231042239562","44.482171221562","49.189367844779","2188.04988275186","1870.63112135592","85.4930747284095","5.77983651218721","4.941359948544111"
"28.421281","1700","2922.8976055784965","10.939503797921818","5.7760350794116","44.318850043456","47.034742411533","2084.52569576931","1767.95839904697","84.8134615291702","6.1876477431928345","5.247958238233424"
"35.1221008","1600","2574.3668016225006","8.558575210984179","4.4786543789521","45.361942127882","31.775762214056","1441.41028662335","1207.38727149873","83.7643024129623","7.088508727080114","5.937639886720614"
"40.8371262","1550","2351.0515529770264","7.09217593231705","3.7056139085439","46.04243110374","23.786212683262","1095.175058688","912.327861680581","83.3042950022561","7.773714067279164","6.475837699238119"
"46.5330252","1500","2178.497138182968","6.144346261772981","3.1782675333544","46.497294930882","19.08181171077","887.252626931231","725.063533611038","81.72007741682759","8.474217743612417","6.925137300550606"
"52.2863702","1450","2019.0474006313448","5.317266017840548","2.7254742607767","46.854513825475","15.482353058633","725.418125436605","576.258331954698","79.4380939417343","9.227226268128923","7.329932671092638"
"57.9774954","1400","1863.8730179271274","4.608675038642453","2.3263360963719","47.163074368303","12.152954732573","573.17070784696","454.064343046503","79.2197397442266","10.149828122862425","8.040667423417936"
"63.6629136","1350","1688.0242726323359","3.9291009921768394","1.9289729040084","47.436694078278","9.3368391915158","442.908784386012","340.983553506532","76.987308792989","11.522846048648418","8.871129069213678"
"69.3520184","1300","1507.898275698938","3.252466885397562","1.5563406775576","47.679247960435","6.8916989471707","328.591022970821","245.756679884602","74.79105109527781","13.234500429143184","9.898221978165195"
"75.069602399999","1250","1311.254327146732","2.563647027844473","1.1849895318529","47.90101220701","4.7314152832701","226.639581240355","162.715927539924","71.79501773230041","15.755353926341717","11.311559145203715"
"81.0705634","1200","1056.916100019807","1.7395860026986791","0.77604241315418","48.120745265504","2.6833218391851","129.12344668879","85.8923705443536","66.5195769993418","20.253091068203517","13.472270507860484"
