,Capacity (mah),Nominal voltage (V),Cells configuration,Discharge (C),Battery height (mm),Bettry length (mm),Battery width (mm),Battery weight (g),Battery price (€),Motor name,Shaft diameter (mm),Motor diameter (mm),Motor height (mm),Magnetic poles,KV (rpm/V),Motor weight (g),No load current @10V (A),Resistance (Ohm),Motor price (€),Propeller Name,Propeller diameter (in),Propeller pitch (in),Propeller weight (g),Propeller material,Propeller price (€),Total weight (g),Total price (€),Peak rotational speed (rpm),Peak torque (Nm),Peak current (A),Peak thrust (kgf),Total thrust (kgf),Hovering rotational speed (rpm),Hovering torque (Nm),Hovering current (A),Hovering PWM,Hovering time (m),Custom cost function
68728,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,30.0,iFlight XING X1404 ,2.0,18.3,12.5,,3000,8.5,,0.28,17.0,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,2,191.72,106.0,17508.523924942765,0.017777895422445778,5.585090565544327,0.22660847076179103,0.9064338830471641,8824.667392856747,0.005005031503964517,1.5723631424268516,0.45700236182410925,33.38923343049703,-1.0392989966047619
68730,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,30.0,iFlight XING X1404 ,2.0,18.3,12.5,,3000,8.5,,0.28,17.0,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,1,203.92000000000002,102.0,15330.193693215615,0.026032467424014584,8.178340841409982,0.29571919113521505,1.1828767645408602,6706.645622957465,0.005640103966047229,1.7718909174886976,0.36914567538954823,29.629363456757424,-1.151853771016858
68724,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,30.0,iFlight XING X1404 ,2.0,18.3,12.5,,3000,8.5,,0.28,17.0,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,1,191.88,102.0,15330.193693215615,0.026032467424014584,8.178340841409982,0.29571919113521505,1.1828767645408602,6706.645622957465,0.005640103966047229,1.7718909174886976,0.36914567538954823,29.629363456757424,-1.047665470566875
68812,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,30.0,EMAX ECO Micro Series 1404,1.5,18.8,19.75,9N12P,3700,8.6,0.5,0.265,13.0,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,2,192.12,90.0,19295.634731991813,0.021279821836579872,8.245145607351542,0.27203830892447695,1.0881532356979078,8824.667960554498,0.005005045552734006,1.939258531621517,0.3917498521113948,27.072202671245677,-0.810292897761604
68740,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,30.0,iFlight XING X1404 ,2.0,18.3,12.5,,3800,8.5,,0.28,17.0,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,2,191.72,106.0,19195.96838732723,0.021076925358110555,8.387247756271401,0.2694026510957374,1.0776106043829496,8824.66858618846,0.005005076290585999,1.9916951264803644,0.3891832219332706,26.35945597395505,-1.2491620680059627
68725,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,30.0,iFlight XING X1404 ,2.0,18.3,12.5,,3000,8.5,,0.28,17.0,Gemfan 5040 R,5.0,4.0,3.0,ABS,1,195.0,102.0,14882.704139452095,0.027728185863620556,8.71106650065227,0.2645518906009028,1.0582075624036111,6908.242338993033,0.006703319073783595,2.105909123325898,0.39086513525165667,24.929850684670505,-1.214961076034268
68736,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,30.0,iFlight XING X1404 ,2.0,18.3,12.5,,3800,8.5,,0.28,17.0,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,1,191.88,102.0,16079.898490407302,0.028436510742677116,11.315884877436744,0.32349126017515634,1.2939650407006253,6706.645639376578,0.005640105279656082,2.244396197449223,0.32342401114731717,23.39159193892181,-1.233884436604509
68742,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,30.0,iFlight XING X1404 ,2.0,18.3,12.5,,3800,8.5,,0.28,17.0,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,1,203.92000000000002,102.0,16079.898490407302,0.028436510742677116,11.315884877436744,0.32349126017515634,1.2939650407006253,6706.645639376578,0.005640105279656082,2.244396197449223,0.32342401114731717,23.39159193892181,-1.3380727370544918
68734,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,30.0,iFlight XING X1404 ,2.0,18.3,12.5,,3000,8.5,,0.28,17.0,T-Motor 5143 Ultra-Light,5.1,4.3,3.7,Poly Carbonate,1,197.8,102.0,13888.003323185532,0.0314975085256769,9.895234139064844,0.27581880322102087,1.1032752128840835,6305.085121050591,0.007308374859846544,2.295993674414104,0.37088827961974913,22.865916655191594,-1.3008064534237873
68836,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,30.0,EMAX ECO Micro Series 1106,2.0,14.2,19.9,9N12P,4500,6.7,0.6,0.3,13.0,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,2,184.52,90.0,19498.231054013868,0.02169500988805838,10.223532552582322,0.2774329345306736,1.1097317381226943,8824.667951471298,0.005004987351103426,2.3585028243402655,0.3606200229528678,22.259884303800067,-0.888190475954298
