,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Capacity (mah),Nominal voltage (V),Cells configuration,Discharge (C),Battery height (mm),Bettry length (mm),Battery width (mm),Battery weight (g),Battery price (€),Motor name,Shaft diameter (mm),Motor diameter (mm),Motor height (mm),Magnetic poles,KV (rpm/V),Motor weight (g),No load current @10V (A),Resistance (Ohm),Motor price (€),Propeller Name,Propeller diameter (in),Propeller pitch (in),Propeller weight (g),Propeller material,Propeller price (€),Total weight (g),Total price (€),Peak rotational speed (rpm),Peak torque (Nm),Peak current (A),Peak thrust (kgf),Total thrust (kgf),Hovering rotational speed (rpm),Hovering torque (Nm),Hovering current (A),Hovering PWM,Hovering time (m),Custom cost function
6871,6,6,6,6,6,800,7.4,2S1P,40,15.0,57.0,30.0,50.0,10.0,EMAX Freestyle FS2208,4.0,27.45,33.6,12N14P,1800,34.5,1.5,0.062,9.0,Gemfan 5050 3-Blades BN,5.0,5.0,5.0,Poly Carbonate,1,208.0,50.0,12560.409827815694,0.03610888011568491,6.806363550038593,0.2748224319320453,1.0992897277281812,5713.351692132378,0.008408242795981763,1.5849164278473364,0.44220933674775825,7.571377133303254,0.046646881696201854
6877,6,6,6,6,6,800,7.4,2S1P,40,15.0,57.0,30.0,50.0,10.0,EMAX Freestyle FS2208,4.0,27.45,33.6,12N14P,2500,34.7,2.3,0.036,9.0,Gemfan 5040 R,5.0,4.0,3.0,ABS,1,200.8,50.0,17608.244335439336,0.03784728587882557,9.908396272895864,0.3629235747081485,1.451694298832594,6908.242357001796,0.006703321246360336,1.7549253985333357,0.3819559806956646,6.837897502668148,0.024749988224552502
6872,6,6,6,6,6,800,7.4,2S1P,40,15.0,57.0,30.0,50.0,10.0,EMAX Freestyle FS2208,4.0,27.45,33.6,12N14P,1800,34.5,1.5,0.062,9.0,KingKong 6040,6.0,4.0,3.38,Plastic,1,201.52,50.0,12526.101044216399,0.03773996001441723,7.113789926376312,0.3205131357885071,1.2820525431540284,5250.183941541832,0.007553815689191171,1.4238607116585824,0.40608759736958894,8.427790655184111,0.07221377527178417
6869,6,6,6,6,6,800,7.4,2S1P,40,15.0,57.0,30.0,50.0,10.0,EMAX Freestyle FS2208,4.0,27.45,33.6,12N14P,1800,34.5,1.5,0.062,9.0,DALPROP 6040,6.0,4.0,4.32,Nylon,1,205.28,50.0,12526.101044216399,0.03773996001441723,7.113789926376312,0.3205131357885071,1.2820525431540284,5250.183941541832,0.007553815689191171,1.4238607116585824,0.40608759736958894,8.427790655184111,0.07221377527178417
6881,6,6,6,6,6,800,7.4,2S1P,40,15.0,57.0,30.0,50.0,10.0,EMAX Freestyle FS2208,4.0,27.45,33.6,12N14P,2500,34.7,2.3,0.036,9.0,DALPROP 6040,6.0,4.0,4.32,Nylon,1,206.08,50.0,16944.84334803029,0.06600289825152587,17.27951835521902,0.5656431478847617,2.2625725915390467,5250.183941552299,0.007553815693110336,1.9775843237928072,0.2934144070645217,6.068009265458381,0.001766172435883597
6884,6,6,6,6,6,800,7.4,2S1P,40,15.0,57.0,30.0,50.0,10.0,EMAX Freestyle FS2208,4.0,27.45,33.6,12N14P,2500,34.7,2.3,0.036,9.0,KingKong 6040,6.0,4.0,3.38,Plastic,1,202.32000000000002,50.0,16944.84334803029,0.06600289825152587,17.27951835521902,0.5656431478847617,2.2625725915390467,5250.183941552299,0.007553815693110336,1.9775843237928072,0.2934144070645217,6.068009265458381,0.001766172435883597
6880,6,6,6,6,6,800,7.4,2S1P,40,15.0,57.0,30.0,50.0,10.0,EMAX Freestyle FS2208,4.0,27.45,33.6,12N14P,2500,34.7,2.3,0.036,9.0,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,2,197.52,54.0,18056.540702181584,0.018820997151461263,4.927325531315749,0.24012643454895474,0.960505738195819,8824.66859851058,0.0050050769439232996,1.3103260798072747,0.48338367274017496,9.158025765437703,0.044631092584794474
100121,117,117,117,117,117,7000,3.7,1S2P,50,19.0,93.0,47.0,147.0,5.0,TMOTOR F1103,1.5,14.4,14.0,,8000,5.3,,0.163,12.0,DALPROP 6040,6.0,4.0,4.32,Nylon,1,185.48000000000002,57.0,8680.533610394868,0.01914936627348786,16.04253557485056,0.16084930778829362,0.6433972311531745,5250.183941485177,0.00755381567417296,6.328269804556779,0.4561570191428117,16.592212918038506,0.22953014938018068
100124,117,117,117,117,117,7000,3.7,1S2P,50,19.0,93.0,47.0,147.0,5.0,TMOTOR F1103,1.5,14.4,14.0,,8000,5.3,,0.163,12.0,KingKong 6040,6.0,4.0,3.38,Plastic,1,181.72,57.0,8680.533610394868,0.01914936627348786,16.04253557485056,0.16084930778829362,0.6433972311531745,5250.183941485177,0.00755381567417296,6.328269804556779,0.4561570191428117,16.592212918038506,0.22953014938018068
100126,117,117,117,117,117,7000,3.7,1S2P,50,19.0,93.0,47.0,147.0,5.0,TMOTOR F1103,1.5,14.4,14.0,,8000,5.3,,0.163,12.0,T-Motor 5143 Ultra-Light,5.1,4.3,3.7,Poly Carbonate,1,183.0,57.0,10191.131840900152,0.01776658755720608,14.88410134900295,0.15414135531309736,0.6165654212523894,6305.085113472888,0.0073083739759636675,6.122648331090758,0.482737112743762,17.149441601408146,0.24616534497317533
