,Capacity (mah),Nominal voltage (V),Cells configuration,Discharge (C),Battery height (mm),Bettry length (mm),Battery width (mm),Battery weight (g),Battery price (€),Motor name,Shaft diameter (mm),Motor diameter (mm),Motor height (mm),Magnetic poles,KV (rpm/V),Motor weight (g),No load current @10V (A),Resistance (Ohm),Motor price (€),Propeller Name,Propeller diameter (in),Propeller pitch (in),Propeller weight (g),Propeller material,Propeller price (€),Total weight (g),Total price (€),Peak rotational speed (rpm),Peak torque (Nm),Peak current (A),Peak thrust (kgf),Total thrust (kgf),Hovering rotational speed (rpm),Hovering torque (Nm),Hovering current (A),Hovering PWM,Hovering time (m),Custom cost function
68543,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,30.0,TMOTOR F1203,2.0,15.5,14.05,,7000,4.45,,0.198,15.0,Gemfan 3052 - Flash,3.0,5.2,1.6,Poly Carbonate,1,173.2,94.0,25615.719530665647,0.02577215626468237,18.89197725060199,0.26323202747111274,1.052928109884451,11921.959655781584,0.006261157619989622,4.589645712948735,0.3529576952495847,11.438791419538576,-1.2185427592362
68536,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,30.0,TMOTOR F1203,2.0,15.5,14.05,,7000,4.45,,0.198,15.0,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,2,175.52,98.0,22669.9319718586,0.028671578968966525,21.017365099669117,0.3683099265349265,1.473239706139706,8824.668591404006,0.0050050763169372445,3.6689121097167945,0.2685285863990604,14.309418822260232,-1.25818395209676
68532,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,30.0,TMOTOR F1203,2.0,15.5,14.05,,7000,4.45,,0.198,15.0,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,1,175.68,94.0,17611.752398295448,0.03365014595832354,24.666845311475146,0.38384755287793965,1.5353902115117586,6706.645623450889,0.005640104055367052,4.134412271193932,0.24009538670512895,12.69829822385833,-1.2024028557598827
68639,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,30.0,TMOTOR F1103,1.5,14.4,14.0,,8000,5.3,,0.163,12.0,Gemfan 3052 - Flash,3.0,5.2,1.6,Poly Carbonate,1,176.6,82.0,27371.59182117526,0.02913524823086542,24.40828848069382,0.2981745004623465,1.192698001849386,11921.9602748054,0.006261188964895946,5.245361401265299,0.3169241814536377,10.008843239540333,-0.9748641095431038
1656,450,7.4,2S1P,25,11.0,56.0,31.0,28.0,8.0,TMOTOR V2207 V2.0,4.0,27.5,31.35,,1750,35.1,,0.059,14.0,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,1,177.28,68.0,12606.964998973772,0.018129328060941995,3.322372891295188,0.20473767683508337,0.8189507073403335,6706.645622229801,0.005640103922652144,1.03360301950408,0.5261285817755672,6.530553677405695,-0.7161663704977592
68533,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,30.0,TMOTOR F1203,2.0,15.5,14.05,,7000,4.45,,0.198,15.0,Gemfan 5040 R,5.0,4.0,3.0,ABS,1,178.8,94.0,16748.520463893412,0.034499791169730995,25.289667774968677,0.33032749002681916,1.3213099601072766,6908.243028405068,0.006703421205059136,4.9139367795043265,0.2648447761544028,10.683898136209992,-1.289538598628752
68632,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,30.0,TMOTOR F1103,1.5,14.4,14.0,,8000,5.3,,0.163,12.0,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,2,178.92000000000002,86.0,24106.797175493426,0.03212379236110808,26.911965356216697,0.4134179245173469,1.6536716980693875,8824.668597912121,0.005005076889332769,4.193043364442024,0.24142562745176588,12.520738622741687,-1.0252146888517975
68628,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,30.0,TMOTOR F1103,1.5,14.4,14.0,,8000,5.3,,0.163,12.0,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,1,179.07999999999998,82.0,18586.619362254223,0.037176880468768686,31.145230550418542,0.42476302400256716,1.6990520960102686,6706.645621709328,0.005640103809707181,4.725042186313065,0.21736656474090466,11.111011908438766,-0.9634212913660272
68540,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,30.0,TMOTOR F1203,2.0,15.5,14.05,,7000,4.45,,0.198,15.0,KingKong 6040,6.0,4.0,3.38,Plastic,1,180.32,94.0,12665.165253686759,0.03851887691379229,28.23581150527651,0.3272354454081039,1.3089417816324156,5250.1839432777815,0.0075538159890882455,5.537236537179505,0.24951339350981933,9.481263740042763,-1.3385947181282856
68542,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,30.0,TMOTOR F1203,2.0,15.5,14.05,,7000,4.45,,0.198,15.0,T-Motor 5143 Ultra-Light,5.1,4.3,3.7,Poly Carbonate,1,181.6,94.0,14981.59705959304,0.036238904296320006,26.56450428600791,0.31806089351179206,1.2722435740471683,6305.085120984443,0.007308374845160554,5.3573185522061,0.26506425935023376,9.799678605704887,-1.3401654346545224
