,Capacity (mah),Nominal voltage (V),Cells configuration,Discharge (C),Battery height (mm),Bettry length (mm),Battery width (mm),Battery weight (g),Motor name,Shaft diameter (mm),Motor diameter (mm),Motor height (mm),Magnetic poles,KV (rpm/V),Motor weight (g),No load current @10V (A),Resistance (Ohm),Price (€),Propeller Name,Propeller diameter (in),Propeller pitch (in),Propeller weight (g),Propeller material,Total weight (g),Peak rotational speed (rpm),Peak torque (Nm),Peak current (A),Peak thrust (kgf),Total thrust (kgf),Hovering rotational speed (rpm),Hovering torque (Nm),Hovering current (A),Hovering PWM,Hovering time (m)
1552,450,7.4,2S1P,25,11.0,56.0,31.0,28.0,TMOTOR V2208 V2.0,4.0,27.6,31.95,,1950,37.2,,0.052,,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,185.52,14180.76209067191,0.012036851855667292,2.457967547614309,0.15246220959316456,0.6098488383726582,8824.668598510081,0.005005076943920754,1.0220543422487407,0.6187321489129664,6.604345503927452
1704,450,7.4,2S1P,25,11.0,56.0,31.0,28.0,TMOTOR V2207 V2.0,4.0,27.5,31.35,,1750,35.1,,0.059,,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,177.28,12606.964998973772,0.018129328060941995,3.322372891295188,0.20473767683508337,0.8189507073403335,6706.645622229801,0.005640103922652144,1.03360301950408,0.5261285817755672,6.530553677405695
1710,450,7.4,2S1P,25,11.0,56.0,31.0,28.0,TMOTOR V2207 V2.0,4.0,27.5,31.35,,1750,35.1,,0.059,,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,189.32,12606.964998973772,0.018129328060941995,3.322372891295188,0.20473767683508337,0.8189507073403335,6706.645622229801,0.005640103922652144,1.03360301950408,0.5261285817755672,6.530553677405695
2044,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,DYS D2225-12,3.175,22.0,25.0,,2000,32.0,,0.143,,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,181.72,20742.891576528626,0.0243260763628654,5.094784697452287,0.31166016415456116,1.2466406566182446,8824.668600119961,0.0050050769616949795,1.0482608709363446,0.4110122166309853,6.439236822767843
2280,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,DYS D2822-14,3.175,28.0,22.0,,1450,38.0,,0.112,,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,205.88,15444.195387329446,0.02639173715649532,4.007417565705393,0.29986700542335615,1.1994680216934246,6706.6456229788255,0.00564010396936845,0.8564139444564368,0.42533254101016155,7.881702585172412
2304,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,141.88,15773.63761526566,0.027442655581849783,4.598061075773933,0.31200520386607505,1.2480208154643002,6706.645625949724,0.005640104382380133,0.9450086280617831,0.40061313926083414,7.14279192756608
2305,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,,Gemfan 5040 R,5.0,4.0,3.0,ABS,145.0,15576.466203417805,0.030166683779017083,5.054476380977302,0.2882110293820206,1.1528441175280824,6908.242356999097,0.006703321246258028,1.1231522550278634,0.4162975299082846,6.0098708521335285
2310,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,153.92000000000002,15773.63761526566,0.027442655581849783,4.598061075773933,0.31200520386607505,1.2480208154643002,6706.645625949724,0.005640104382380133,0.9450086280617831,0.40061313926083414,7.14279192756608
2544,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR V2208 V2.0,4.0,27.6,31.95,,1750,36.9,,0.065,,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,201.48,18645.473161550733,0.037394953809609596,6.852983195158371,0.4272951378724144,1.7091805514896576,6706.645622978831,0.005640103969368506,1.0336030364129603,0.3513110923228214,6.530553570571305
2560,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR V2208 V2.0,4.0,27.6,31.95,,1950,37.2,,0.052,,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,202.52,21124.036638668487,0.025159731186672543,5.137705733052391,0.32251328651912997,1.2900531460765199,8824.668601104491,0.0050050769559644125,1.0220543466115732,0.41248809941561126,6.604345475735553
2628,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,1750,33.9,,0.0612,,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,189.48,18687.949783511165,0.03755269433100023,6.881888109138991,0.42912701959740707,1.7165080783896283,6706.6456229961395,0.005640103971001451,1.0336030370065308,0.3509572462424474,6.530553566820983
2632,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,1750,33.9,,0.0612,,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,189.32,19018.373583708086,0.020717600366419488,3.7966985648171274,0.26473597371705937,1.0589438948682375,8824.668598510521,0.005005076943922722,0.917228255864891,0.4593515441294031,7.35912784722834
2634,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,1750,33.9,,0.0612,,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,201.51999999999998,18687.949783511165,0.03755269433100023,6.881888109138991,0.42912701959740707,1.7165080783896283,6706.6456229961395,0.005640103971001451,1.0336030370065308,0.3509572462424474,6.530553566820983
2644,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,1950,33.7,,0.0565,,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,188.52,21081.08088519931,0.02506516266067209,5.118394506927041,0.32128142722982306,1.2851257089192922,8824.66859851014,0.00500507694392522,1.0220543422505521,0.41290244563028855,6.604345503915747
2664,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2505,4.0,30.4,28.8,,1850,31.25,,0.069,,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,178.88,19527.659739651244,0.04073381110806714,7.891423896190421,0.4660927169340449,1.8643708677361797,6706.645622979205,0.0056401039693718125,1.0926660670662978,0.33338809089068505,6.177550674858143
2670,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR P2505,4.0,30.4,28.8,,1850,31.25,,0.069,,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,190.92000000000002,19527.659739651244,0.04073381110806714,7.891423896190421,0.4660927169340449,1.8643708677361797,6706.645622979205,0.0056401039693718125,1.0926660670662978,0.33338809089068505,6.177550674858143
2712,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR V2207 V2.0,4.0,27.5,31.35,,1750,35.1,,0.059,,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,194.28,18712.702420486366,0.037644778105399165,6.898765903279828,0.43019621366212174,1.720784854648487,6706.645622978794,0.005640103969368235,1.0336030364128712,0.35075238797881203,6.530553570571867
2716,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR V2207 V2.0,4.0,27.5,31.35,,1750,35.1,,0.059,,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,194.12,19032.453791830143,0.020745985008679035,3.801900321257456,0.26510456745644606,1.0604182698257842,8824.668598517614,0.005005076943953406,0.9172282558747759,0.4591697511421717,7.359127847149031
2718,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR V2207 V2.0,4.0,27.5,31.35,,1750,35.1,,0.059,,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,206.32,18712.702420486366,0.037644778105399165,6.898765903279828,0.43019621366212174,1.720784854648487,6706.645622978794,0.005640103969368235,1.0336030364128712,0.35075238797881203,6.530553570571867
2752,450,11.1,3S1P,25,15.0,56.0,31.0,45.0,TMOTOR V2306 V2.0,4.0,27.9,30.3,,1950,32.0,,0.064,,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,181.72,21010.192454034586,0.024909457310757194,5.086598926004919,0.3192533577516251,1.2770134310065004,8824.668598510887,0.005005076943925138,1.0220543422503585,0.4135930228885994,6.604345503916998
3052,450,11.1,3S1P,75,22.5,68.0,17.5,57.0,DYS D2225-12,3.175,22.0,25.0,,2000,32.0,,0.143,,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,193.72,20742.891576528626,0.0243260763628654,5.094784697452287,0.31166016415456116,1.2466406566182446,8824.668600119961,0.0050050769616949795,1.0482608709363446,0.4110122166309853,6.439236822767843
3312,450,11.1,3S1P,75,22.5,68.0,17.5,57.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,153.88,15773.63761526566,0.027442655581849783,4.598061075773933,0.31200520386607505,1.2480208154643002,6706.645625949724,0.005640104382380133,0.9450086280617831,0.40061313926083414,7.14279192756608
3313,450,11.1,3S1P,75,22.5,68.0,17.5,57.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,,Gemfan 5040 R,5.0,4.0,3.0,ABS,157.0,15576.466203417805,0.030166683779017083,5.054476380977302,0.2882110293820206,1.1528441175280824,6908.242356999097,0.006703321246258028,1.1231522550278634,0.4162975299082846,6.0098708521335285
