,Capacity (mah),Nominal voltage (V),Cells configuration,Discharge (C),Battery height (mm),Bettry length (mm),Battery width (mm),Battery weight (g),Motor name,Shaft diameter (mm),Motor diameter (mm),Motor height (mm),Magnetic poles,KV (rpm/V),Motor weight (g),No load current (A),Resistance (Ohm),Propeller Name,Propeller diameter (in),Propeller pitch (in),Propeller weight (g),Propeller material,Total weight (g),Peak rotational speed (rpm),Peak torque (Nm),Peak current (A),Peak thrust (kgf),Total thrust (kgf)
0,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D1410,,14.0,10.5,,4000,5.0,,,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,48.88,,,,,
1,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D1410,,14.0,10.5,,4000,5.0,,,Gemfan 5040 R,5.0,4.0,3.0,ABS,52.0,,,,,
2,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D1410,,14.0,10.5,,4000,5.0,,,6045 plastic,6.0,4.5,6.0,Plastic,64.0,,,,,
3,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D1410,,14.0,10.5,,4000,5.0,,,Gemfan Hurricane 51499,5.1,4.99,5.2,Poly Carbonate,60.8,,,,,
4,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D1410,,14.0,10.5,,4000,5.0,,,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,48.72,,,,,
5,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D1410,,14.0,10.5,,4000,5.0,,,DALPROP 6040,6.0,4.0,4.32,Nylon,57.28,,,,,
6,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D1410,,14.0,10.5,,4000,5.0,,,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,60.92,,,,,
7,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D1410,,14.0,10.5,,4000,5.0,,,Gemfan 5050 3-Blades BN,5.0,5.0,5.0,Poly Carbonate,60.0,,,,,
8,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D1410,,14.0,10.5,,4000,5.0,,,KingKong 6040,6.0,4.0,3.38,Plastic,53.519999999999996,,,,,
9,300,7.4,2S1P,25,13.5,51.5,19.0,20.0,DYS D1410,,14.0,10.5,,4000,5.0,,,Quanum Carbon Fiber Propeller 6045 Self-Locking,6.0,4.5,6.78,Carbon Fiber,67.12,,,,,
